sci.name,date,lat,lon,life.stage,bathy,SST,SSS,common.name
Caretta caretta,2011-04-23,16.17275,54.53365,Juvenile,2844,26.87,36.09,Loggerhead
Caretta caretta,2012-05-29,17.71471,56.98584,Juvenile,80,25.81,36.02,Loggerhead
Chelonia mydas,2019-08-20,24.618,53.014,NA,5,27.91,38.67,Green
Caretta caretta,2012-02-29,9.29945,50.76782,Juvenile,46,26.18,35.65,Loggerhead
Caretta caretta,2011-12-11,1.47423,56.2188,Juvenile,4619,28.65,35.35,Loggerhead
Chelonia mydas,2016-11-19,20.588,58.917,NA,2,25.98,36.04,Green
Chelonia mydas,2016-09-02,25.776,55.82,NA,5,28.14,38.7,Green
Chelonia mydas,2017-06-26,24.645,53.06,NA,2,27.91,38.67,Green
Chelonia mydas,2016-08-27,24.242,53.684,NA,18,27.99,38.79,Green
Caretta caretta,2011-03-31,15.86005,54.96819,Juvenile,2909,26.92,36.1,Loggerhead
Caretta caretta,2011-03-30,4.52466,62.25591,Juvenile,3169,29.14,35.52,Loggerhead
Caretta caretta,2011-11-20,2.563,46.607,Juvenile,1847,26.95,35.26,Loggerhead
Chelonia mydas,2016-12-06,24.139,53.325,NA,2,27.99,38.67,Green
Chelonia mydas,2019-05-13,24.388,53.218,NA,2,28,38.67,Green
Chelonia mydas,2016-06-02,24.717,52.871,NA,17,27.85,38.65,Green
Chelonia mydas,2018-04-15,24.639,53.052,NA,2,27.91,38.67,Green
Caretta caretta,2012-01-23,8.91641,50.50988,Juvenile,31,26.25,35.61,Loggerhead
Chelonia mydas,2018-05-17,25.461,57.415,NA,339,28.24,36.74,Green
Caretta caretta,2012-06-09,19.83802,60.48932,Juvenile,3434,26.8,36.27,Loggerhead
Caretta caretta,2012-05-20,14.98,55.27474,Juvenile,2483,27.04,36.08,Loggerhead
Caretta caretta,2012-05-29,17.72559,57.08754,Juvenile,145,25.96,36.06,Loggerhead
Chelonia mydas,2018-05-22,23.892,57.366,NA,2,28.39,36.83,Green
Caretta caretta,2011-04-25,9.33829,59.88662,Juvenile,4050,27.99,35.99,Loggerhead
Chelonia mydas,2016-05-28,24.72,53.152,NA,12,27.92,38.71,Green
Chelonia mydas,2016-08-09,24.552,54.437,NA,2,28.09,38.96,Green
Chelonia mydas,2016-09-10,24.109,52.478,NA,2,27.79,38.08,Green
Chelonia mydas,2017-06-16,24.703,52.889,NA,15,27.85,38.65,Green
Chelonia mydas,2019-09-11,24.134,53.853,NA,21,27.88,38.81,Green
Chelonia mydas,2016-06-13,24.373,53.167,NA,3,28,38.67,Green
Caretta caretta,2011-12-04,1.2595,54.70048,Juvenile,4874,28.41,35.36,Loggerhead
Chelonia mydas,2018-09-02,23.933,58.066,NA,223,28.26,36.82,Green
Chelonia mydas,2018-04-05,24.533,53.602,NA,9,28.06,38.8,Green
Chelonia mydas,2018-05-10,24.519,52.981,NA,4,27.89,38.64,Green
Caretta caretta,2011-04-15,13.65797,52.89277,Juvenile,2494,26.82,36,Loggerhead
Chelonia mydas,2018-07-23,26.771,56.757,NA,48,27.97,37.04,Green
